name, nr_of_swaps, nr_of_comparison, time_secondsselectSort, 100, 99, 4950, 0.000000
heapSort, 10000, 124172, 258344, 0.002000
quickSort, 10000, 80873, 154997, 0.001000
name, nr_of_swaps, nr_of_comparison, time_secondsselectSort, 100, 99, 4950, 0.000000
insertionSort, 100, 2487, 2388, 0.000000
heapSort, 100, 588, 1276, 0.000000
quickSort, 100, 355, 626, 0.000000
selectSort, 200, 199, 19900, 0.000000
insertionSort, 200, 10343, 10144, 0.000000
heapSort, 200, 1356, 2912, 0.000000
quickSort, 200, 682, 1514, 0.000000
selectSort, 300, 299, 44850, 0.000000
insertionSort, 300, 22748, 22449, 0.001000
heapSort, 300, 2201, 4702, 0.000000
quickSort, 300, 1399, 2486, 0.000000
selectSort, 400, 399, 79800, 0.000000
insertionSort, 400, 42439, 42040, 0.000000
heapSort, 400, 3106, 6612, 0.000000
quickSort, 400, 1999, 3596, 0.000000
selectSort, 500, 499, 124750, 0.000000
insertionSort, 500, 60325, 59826, 0.000000
heapSort, 500, 4066, 8632, 0.000000
quickSort, 500, 2731, 4376, 0.000000
selectSort, 600, 599, 179700, 0.000000
insertionSort, 600, 90738, 90139, 0.000000
heapSort, 600, 5023, 10646, 0.000000
quickSort, 600, 3855, 6089, 0.000000
selectSort, 700, 699, 244650, 0.001000
insertionSort, 700, 122526, 121827, 0.000000
heapSort, 700, 6039, 12778, 0.000000
quickSort, 700, 4242, 7354, 0.000000
selectSort, 800, 799, 319600, 0.001000
insertionSort, 800, 164362, 163563, 0.001000
heapSort, 800, 7023, 14846, 0.000000
quickSort, 800, 5098, 8084, 0.000000
selectSort, 900, 899, 404550, 0.001000
insertionSort, 900, 197923, 197024, 0.000000
heapSort, 900, 8046, 16992, 0.000000
quickSort, 900, 5982, 9799, 0.000000
selectSort, 1000, 999, 499500, 0.002000
insertionSort, 1000, 247531, 246532, 0.000000
heapSort, 1000, 9096, 19192, 0.000000
quickSort, 1000, 6312, 10661, 0.000000
selectSort, 1100, 1099, 604450, 0.002000
insertionSort, 1100, 300726, 299627, 0.001000
heapSort, 1100, 10123, 21346, 0.000000
quickSort, 1100, 6738, 12525, 0.000000
selectSort, 1200, 1199, 719400, 0.001000
insertionSort, 1200, 354812, 353613, 0.001000
heapSort, 1200, 11265, 23730, 0.001000
quickSort, 1200, 8986, 14251, 0.000000
selectSort, 1300, 1299, 844350, 0.002000
